id,lv,type,difficulty,difficultyscale,waveform,random,time,heronum
1,1,3,7,1.0,1,2382,120,9
2,1,3,8,1.1,2,7553,120,9
3,1,3,9,1.2,3,1235,120,9
4,1,3,10,1.3,2,3135,120,9
5,1,3,11,1.4,5,4632,120,9
6,1,4,7,1.0,1,3252,120,9
7,1,4,8,1.1,2,2454,120,9
8,1,4,9,1.2,3,5331,120,9
9,1,4,10,1.3,2,2316,120,9
10,1,4,11,1.4,5,6275,120,9
11,1,5,7,1.0,1,7538,120,9
12,1,5,8,1.1,2,5246,120,9
13,1,5,9,1.2,3,7525,120,9
14,1,5,10,1.3,2,2377,120,9
15,1,5,11,1.4,5,8462,120,9
16,1,6,7,1.0,1,7462,120,9
17,1,6,8,1.1,2,7684,120,9
18,1,6,9,1.2,3,7356,120,9
19,1,6,10,1.3,2,7643,120,9
20,1,6,11,1.4,5,2324,120,9
21,1,1,7,1.0,1,7633,120,9
22,1,1,8,1.1,2,8643,120,9
23,1,1,9,1.2,3,5482,120,9
24,1,1,10,1.3,2,2857,120,9
25,1,1,11,1.4,5,3927,120,9
26,1,2,7,1.0,1,6738,120,9
27,1,2,8,1.1,2,9307,120,9
28,1,2,9,1.2,3,4914,120,9
29,1,2,10,1.3,2,3729,120,9
30,1,2,11,1.4,5,4548,120,9
